"15251","Give all swimmers that were born in Moscow. ?"
"15252","Who was called Rodzilla ?"
"15253","Show me the book that Muhammad Ali wrote. ?"
"15254","How many museums does Paris have ?"
"15255","Which city has the most inhabitants ?"
"15256","Which city has the least inhabitants ?"
"15257","Give me all the TV shows with Neil Patrick Harris. ?"
"15258","Who wrote The Hunger Games ?"
"15259","Show a list of soccer clubs that play in the Bundesliga. ?"
"15260","What country is Mount Everest in ?"
"15261","Who is the founder of Penguin Books ?"
"15262","Which programming languages influenced Javascript ?"
"15263","Did Che Guevara have children ?"
"15264","List all the musicals with music by Elton John. ?"
"15265","Show me all the breweries in Australia. ?"
"15266","When was the Titanic completed ?"
"15267","How much did Pulp Fiction cost ?"
"15268","How many airlines are there ?"
"15269","Who played Agent Smith in Matrix ?"
"15270","How much carbs does peanut butter have ?"
"15271","Which book has the most pages ?"
"15272","Which bridges cross the Seine ?"
"15273","Who is the mayor of the capital of French Polynesia ?"
"15274","When did Dracula's creator die ?"
"15275","What is the location of the Houses of Parliament ?"
"15276","Show me all English Gothic buildings in Kent. ?"
"15277","Who was the pope that founded the Vatican Television ?"
"15278","What airlines are part of the SkyTeam alliance ?"
"15279","What is the total population of Melbourne, Florida ?"
"15280","Which airports does Air China serve ?"
"15281","In which year was Rachel Stevens born ?"
"15282","Where was JFK assassinated ?"
"15283","How many politicians graduated from Columbia University ?"
"15284","Which scientist is known for the Manhattan Project and the Nobel Peace Prize ?"
"15285","What is the highest volcano in Africa ?"
"15286","Which beer originated in Ireland ?"
"15287","What are the specialities of the UNC Health Care ?"
"15288","Who is the owner of Facebook ?"
"15289","From which region is the Melon de Bourgogne ?"
"15290","Who was influenced by Socrates ?"
"15291","Who was president of Pakistan in 1978 ?"
"15292","Give me English actors starring in Lovesick. ?"
"15293","Give me all types of eating disorders. ?"
"15294","Who was married to president Chirac ?"
"15295","What is the largest metropolitan area in Washington state ?"
"15296","Where in France is sparkling wine produced ?"
"15297","Where did Hillel Slovak die ?"
"15298","What is the timezone in San Pedro de Atacama ?"
"15299","In which city does the Chile Route 68 end ?"
"15300","Who was vice president under the president who authorized atomic weapons against Japan during World War II ?"
"15301","In which town was the assassin of Martin Luther King born ?"
"15302","Which anti-apartheid activist was born in Mvezo ?"
"15303","How many Golden Globe awards did the daughter of Henry Fonda win ?"
"15304","Which recipients of the Victoria Cross died in the Battle of Arnhem ?"
"15305","Where did the first man in space die ?"
"15306","How old was Steve Jobs' sister when she first met him ?"
"15307","Which members of the Wu-Tang Clan took their stage name from a movie ?"
"15308","Which writers had influenced the philosopher that refused a Nobel Prize ?"
"15309","Under which king did the British prime minister that signed the Munich agreement serve ?"
"15310","Who composed the music for the film that depicts the early life of Jane Austin ?"
"15311","Who succeeded the pope that reigned only 33 days ?"
"15312","On which island did the national poet of Greece die ?"
"15313","Which horses did The Long Fellow ride ?"
"15314","Of the people that died of radiation in Los Alamos, whose death was an accident ?"
"15315","Which building owned by the Bank of America was featured in the TV series MegaStructures ?"
"15316","Which buildings in art deco style did Shreve, Lamb and Harmon design ?"
"15317","Which birds are protected under the National Parks and Wildlife Act ?"
"15318","Which country did the first known photographer of snowflakes come from ?"
"15319","List all the battles commanded by the lover of Cleopatra. ?"
"15320","Are the Rosetta Stone and the Gayer-Andersen cat exhibited in the same museum ?"
"15321","Which actress starring in the TV series Friends owns the production company Coquette Productions ?"
"15322","Gaborone is the capital of which country member of the African Union ?"
"15323","When was the composer of the opera Madame Butterfly born ?"
"15324","Which street basketball player was diagnosed with Sarcoidosis ?"
"15325","For which movie did the daughter of Francis Ford Coppola receive an Oscar ?"
"15326","Which city does the first person to climb all 14 eight-thousanders come from ?"
"15327","At which college did the only American actor that received the César Award study ?"
"15328","Did Napoleon's first wife die in France ?"
"15329","How old is James Bond in the latest Bond book by William Boyd ?"
"15330","What eating disorder is characterized by an appetite for substances such as clay and sand ?"
"15331","What is the native city of Hollywood's highest-paid actress ?"
"15332","In which city does the former main presenter of the Xposé girls live ?"
"15333","Who plays Phileas Fogg in the adaptation of Around the World in 80 Days directed by Buzz Kulik ?"
"15334","Who is the front man of the band that wrote Coffee & TV ?"
"15335","Which Chinese-speaking country is a former Portguese colony ?"
"15336","What is the largest city in the county in which Faulkner spent most of his life ?"
"15337","In which year did the Hungarian-American actor called ""The King of Horror"" make his first film ?"
"15338","Under which pseudonym did Charles Dickens publish some of his books ?"
"15339","A landmark of which city is the home of the Mona Lisa ?"
